sequenceID,highPriorityPass,missingFields,eventID,materialSampleID,target_gene,target_subfragment,pcr_primer_forward,pcr_primer_reverse,seq_meth,otu_class_appr,otu_seq_comp_appr,otu_db,sop
ADV100-001-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-001,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-002-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-002,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-003-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-003,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-004-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-004,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-005-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-005,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-006-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-006,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-007-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-007,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-008-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-008,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-009-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-009,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
ADV100-010-true_species_safe_positive,False,pcr_primer_forward; pcr_primer_reverse; seq_meth,competition-event-01,competition-sample-010,cytochrome c oxidase subunit I,COI-5P barcode region,,,,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2,identity=99.6; queryCoverage=96.0,COI Animals / BOLD public clustered reference,GBIF Sequence ID-compatible COI BLAST workflow; ruleset barcode-gbif-compiler-v2
